name,color,model,price,Màn hình:,Hệ điều hành:,Camera sau:,Camera trước:,Chip:,RAM:,Dung lượng lưu trữ:,SIM:,"Pin, Sạc:",Danh bạ:,Thẻ nhớ:,Radio FM:,Jack cắm tai nghe:,Pin:
Điện thoại Samsung Galaxy A54 5G 128GB,Đen,128GB,9.490.000₫ ,"Super AMOLED, 6.4"", Full HD+",Android 13,"Chính 50 MP & Phụ 12 MP, 5 MP",32 MP,Exynos 1380 8 nhân,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 5G","5000 mAh, 25 W",,,,,
Điện thoại Samsung Galaxy A54 5G 128GB,Xanh Lá Mạ,128GB,9.490.000₫ ,"Super AMOLED, 6.4"", Full HD+",Android 13,"Chính 50 MP & Phụ 12 MP, 5 MP",32 MP,Exynos 1380 8 nhân,8 GB,128 GB,"2 Nano SIM, Hỗ trợ 5G","5000 mAh, 25 W",,,,,
Điện thoại Samsung Galaxy A54 5G 256GB,Xanh Lá Mạ,256GB,9.990.000₫ ,"Super AMOLED, 6.4"", Full HD+",Android 13,"Chính 50 MP & Phụ 12 MP, 5 MP",32 MP,Exynos 1380 8 nhân,8 GB,256 GB,"2 Nano SIM, Hỗ trợ 5G","5000 mAh, 25 W",,,,,
Điện thoại Samsung Galaxy A54 5G 256GB,Tím,256GB,9.990.000₫ ,"Super AMOLED, 6.4"", Full HD+",Android 13,"Chính 50 MP & Phụ 12 MP, 5 MP",32 MP,Exynos 1380 8 nhân,8 GB,256 GB,"2 Nano SIM, Hỗ trợ 5G","5000 mAh, 25 W",,,,,
Điện thoại Samsung Galaxy A54 5G 256GB,Đen,256GB,9.990.000₫ ,"Super AMOLED, 6.4"", Full HD+",Android 13,"Chính 50 MP & Phụ 12 MP, 5 MP",32 MP,Exynos 1380 8 nhân,8 GB,256 GB,"2 Nano SIM, Hỗ trợ 5G","5000 mAh, 25 W",,,,,
Điện thoại Xiaomi Redmi Note 12 Pro 5G,Xanh Dương,,8.790.000₫ ,"AMOLED, 6.67"", Full HD+",Android 12,"Chính 50 MP & Phụ 8 MP, 2 MP",16 MP,MediaTek Dimensity 1080 8 nhân,8 GB,256 GB,"2 Nano SIM, Hỗ trợ 5G","5000 mAh, 67 W",,,,,
Điện thoại Xiaomi Redmi Note 12 Pro 5G,Trắng,,8.790.000₫ ,"AMOLED, 6.67"", Full HD+",Android 12,"Chính 50 MP & Phụ 8 MP, 2 MP",16 MP,MediaTek Dimensity 1080 8 nhân,8 GB,256 GB,"2 Nano SIM, Hỗ trợ 5G","5000 mAh, 67 W",,,,,
Điện thoại Xiaomi Redmi Note 12 Pro 5G,Đen,,8.790.000₫ ,"AMOLED, 6.67"", Full HD+",Android 12,"Chính 50 MP & Phụ 8 MP, 2 MP",16 MP,MediaTek Dimensity 1080 8 nhân,8 GB,256 GB,"2 Nano SIM, Hỗ trợ 5G","5000 mAh, 67 W",,,,,
,,,,,,,,,,,,,,,,,
Điện thoại OPPO Reno8 T,Đen,,8.490.000₫ ,"AMOLED, 6.4"", Full HD+",Android 13,"Chính 100 MP & Phụ 2 MP, 2 MP",32 MP,MediaTek Helio G99,8 GB,256 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
Điện thoại OPPO Reno8 T,Cam,,8.490.000₫ ,"AMOLED, 6.4"", Full HD+",Android 13,"Chính 100 MP & Phụ 2 MP, 2 MP",32 MP,MediaTek Helio G99,8 GB,256 GB,"2 Nano SIM, Hỗ trợ 4G","5000 mAh, 33 W",,,,,
Điện thoại OPPO Reno7 Z 5G,Bạc,Reno7 Z 5G,7.490.000₫ ,"AMOLED, 6.43"", Full HD+",Android 11,"Chính 64 MP & Phụ 2 MP, 2 MP",16 MP,Snapdragon 695 5G,8 GB,128 GB,"2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 5G","4500 mAh, 33 W",,,,,
Điện thoại OPPO Reno7 Z 5G,Đen,Reno7 Z 5G,7.490.000₫ ,"AMOLED, 6.43"", Full HD+",Android 11,"Chính 64 MP & Phụ 2 MP, 2 MP",16 MP,Snapdragon 695 5G,8 GB,128 GB,"2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 5G","4500 mAh, 33 W",,,,,
Điện thoại OPPO Reno7 Pro 5G,Xanh dương nhạt,Reno7 Pro 5G,11.990.000₫ ,"AMOLED, 6.5"", Full HD+",Android 11,"Chính 50 MP & Phụ 8 MP, 2 MP",32 MP,MediaTek Dimensity 1200 Max,12 GB,256 GB,"2 Nano SIM, Hỗ trợ 5G","4500 mAh, 65 W",,,,,
Điện thoại OPPO Reno7 Pro 5G,Đen,Reno7 Pro 5G,11.990.000₫ ,"AMOLED, 6.5"", Full HD+",Android 11,"Chính 50 MP & Phụ 8 MP, 2 MP",32 MP,MediaTek Dimensity 1200 Max,12 GB,256 GB,"2 Nano SIM, Hỗ trợ 5G","4500 mAh, 65 W",,,,,
Điện thoại OPPO Reno7 5G,Đen,Reno7 5G,7.990.000₫ ,"AMOLED, 6.4"", Full HD+",Android 11,"Chính 64 MP & Phụ 8 MP, 2 MP",32 MP,MediaTek Dimensity 900 5G,8 GB,256 GB,"2 Nano SIM, Hỗ trợ 5G","4500 mAh, 65 W",,,,,
Điện thoại OPPO Reno7 5G,Xanh Dương,Reno7 5G,7.990.000₫ ,"AMOLED, 6.4"", Full HD+",Android 11,"Chính 64 MP & Phụ 8 MP, 2 MP",32 MP,MediaTek Dimensity 900 5G,8 GB,256 GB,"2 Nano SIM, Hỗ trợ 5G","4500 mAh, 65 W",,,,,
Điện thoại Xiaomi Redmi Note 12 Pro 128GB,Xanh dương nhạt,128GB,6.890.000₫ ,"AMOLED, 6.67"", Full HD+",Android 11,"Chính 108 MP & Phụ 8 MP, 2 MP, 2 MP",16 MP,Snapdragon 732G,8 GB,128 GB,"2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G","5000 mAh, 67 W",,,,,
Điện thoại Xiaomi Redmi Note 12 Pro 128GB,Xám,128GB,6.890.000₫ ,"AMOLED, 6.67"", Full HD+",Android 11,"Chính 108 MP & Phụ 8 MP, 2 MP, 2 MP",16 MP,Snapdragon 732G,8 GB,128 GB,"2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G","5000 mAh, 67 W",,,,,
Điện thoại Xiaomi Redmi Note 12 Pro 128GB,Xanh Dương,128GB,6.890.000₫ ,"AMOLED, 6.67"", Full HD+",Android 11,"Chính 108 MP & Phụ 8 MP, 2 MP, 2 MP",16 MP,Snapdragon 732G,8 GB,128 GB,"2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G","5000 mAh, 67 W",,,,,
Điện thoại Xiaomi Redmi Note 12 Pro 256GB,Xanh Dương,256GB,7.690.000₫ ,"AMOLED, 6.67"", Full HD+",Android 11,"Chính 108 MP & Phụ 8 MP, 2 MP, 2 MP",16 MP,Snapdragon 732G,8 GB,256 GB,"2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G","5000 mAh, 67 W",,,,,
